number,value,datetime_start,datetime_complete,duration,params_centroid_method,params_centroid_threshold,params_flag_condition,params_icp_max_correspondence_dist,params_point_threshold,state
0,0.35017562820859227,2026-05-25 16:23:18.564444,2026-05-25 16:45:16.803126,0 days 00:21:58.238682,linear_velocity,0.7587945476302645,or,0.2403950683025824,0.04277839467700388,COMPLETE
1,0.056265984654731455,2026-05-25 16:45:16.902931,2026-05-25 17:07:19.187995,0 days 00:22:02.285064,first_diff,0.737265320016441,and,0.8491983767203796,0.07671460434922076,COMPLETE
2,0.3037037037037037,2026-05-25 17:07:19.247033,2026-05-25 17:28:42.322978,0 days 00:21:23.075945,linear_velocity,0.373818018663584,or,0.36210622617823773,0.1646076368389235,COMPLETE
3,0.33182503770739064,2026-05-25 17:28:42.375654,2026-05-25 17:50:24.398510,0 days 00:21:42.022856,first_diff,0.4297256589643226,or,0.2797064039425238,0.14313157645099456,COMPLETE
4,0.0,2026-05-25 17:50:24.454463,2026-05-25 18:13:52.599466,0 days 00:23:28.145003,linear_velocity,0.6467903667112945,and,0.9539969835279999,0.24243904727640306,COMPLETE
5,0.0,2026-05-25 18:13:52.655194,2026-05-25 18:34:29.354759,0 days 00:20:36.699565,linear_velocity,0.1879049026057455,and,0.20983441136030095,0.13893892022447946,COMPLETE
6,0.33946078431372545,2026-05-25 18:34:29.409689,2026-05-25 18:57:14.819029,0 days 00:22:45.409340,linear_velocity,0.3329019834400152,or,0.5680612190600297,0.15027626145552153,COMPLETE
7,0.16592328278322926,2026-05-25 18:57:14.875953,2026-05-25 19:20:23.592903,0 days 00:23:08.716950,linear_velocity,0.7976195410250031,or,0.6381099809299766,0.2328123317050857,COMPLETE
8,0.3453429410194822,2026-05-25 19:20:23.652217,2026-05-25 19:41:05.366985,0 days 00:20:41.714768,first_diff,0.14070456001948428,or,0.34421412859650635,0.21232225201342445,COMPLETE
9,0.0,2026-05-25 19:41:05.418380,2026-05-25 20:01:07.478871,0 days 00:20:02.060491,first_diff,0.5884264748424236,and,0.16709557931179375,0.2471151260521138,COMPLETE
10,0.3452317527970165,2026-05-25 20:01:07.530554,2026-05-25 20:22:54.320782,0 days 00:21:46.790228,linear_velocity,0.9177281431482983,or,0.48635519389748166,0.03319597962643942,COMPLETE
11,0.34550786456944815,2026-05-25 20:22:54.372823,2026-05-25 20:45:05.798700,0 days 00:22:11.425877,first_diff,0.11403531969261055,or,0.40131565860091256,0.1924492198395046,COMPLETE
